A.C. welding generator	เครื่องกำเนิดไฟฟ้าเชื่อมกระแสสลับ	๒๐ ก.ย. ๒๕๔๔
เม็ดโลหะกระเด็น	spatter	๒๐ ก.ย. ๒๕๔๔
แรงเริ่มเชื่อม	initial force	๒๐ ก.ย. ๒๕๔๔
แรงย้อนกลับ	backward force	๒๐ ก.ย. ๒๕๔๔
แรงเสียดทาน	friction force	๒๐ ก.ย. ๒๕๔๔
แรงยู่	upset force	๒๐ ก.ย. ๒๕๔๔
แรงยู่หลังเชื่อม	post-weld upset force	๒๐ ก.ย. ๒๕๔๔
แรงกดอุ่นหลังเชื่อม	post-heating force	๒๐ ก.ย. ๒๕๔๔
แรงขั้วเชื่อม	electrode force	๒๐ ก.ย. ๒๕๔๔
แรงกดยู่	forge force; forging force	๒๐ ก.ย. ๒๕๔๔
แรงเชื่อม	welding force	๒๐ ก.ย. ๒๕๔๔
แรงดันเร่ง	accelerating voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันเริ่มอาร์ก	striking voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันโหลด	load voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันวงจรเปิด	open circuit voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันอาร์ก	arc voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันอาร์กเกิดซ้ำ	restriking voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันอาร์กจริง	true arc voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันไบแอส	bias voltage	๒๐ ก.ย. ๒๕๔๔
แรงดันจุดอาร์กซ้ำเป็นรอบ	cyclic reignition voltage	๒๐ ก.ย. ๒๕๔๔
แรงผลัก	forward force	๒๐ ก.ย. ๒๕๔๔
accelerating voltage	แรงดันเร่ง	๒๐ ก.ย. ๒๕๔๔
แว่นเชื่อม	welding goggles; welding spectacles	๒๐ ก.ย. ๒๕๔๔
แว่นกันสะเก็ด	chipping goggles	๒๐ ก.ย. ๒๕๔๔
actual throat thickness	ความหนารอยเชื่อมจริง	๒๐ ก.ย. ๒๕๔๔
เวลาเย็นตัว	cool time; off-time	๒๐ ก.ย. ๒๕๔๔
เวลาเว้นเชื่อม	step time	๒๐ ก.ย. ๒๕๔๔
เวลาระหว่างพัลส์	interpulse time	๒๐ ก.ย. ๒๕๔๔
เวลาให้ความร้อน	heating time	๒๐ ก.ย. ๒๕๔๔
เวลาร้อน	heat time; on-time	๒๐ ก.ย. ๒๕๔๔
เวลาร้อนระหว่างเชื่อม	weld interval heat time	๒๐ ก.ย. ๒๕๔๔
เวลาร้อนเชื่อม	weld heat time	๒๐ ก.ย. ๒๕๔๔
เวลาเสียดทาน	friction time	๒๐ ก.ย. ๒๕๔๔
เวลารอบการเชื่อม	welding cycle time	๒๐ ก.ย. ๒๕๔๔
เวลาอัตรากระแสเปลี่ยน	slope time	๒๐ ก.ย. ๒๕๔๔
เวลาอาร์ก	arcing time	๒๐ ก.ย. ๒๕๔๔
เวลาอุ่นก่อนเชื่อม, เวลาอุ่นก่อนวาบ	preheat time	๒๐ ก.ย. ๒๕๔๔
เวลาลดแรงกด	pressure decrease time	๒๐ ก.ย. ๒๕๔๔
เวลาลดระยะหัวเชื่อม	head lowering time	๒๐ ก.ย. ๒๕๔๔
เวลากระแสเสื่อม	decay time	๒๐ ก.ย. ๒๕๔๔
เวลาแพร่ความร้อน	heat diffusion time	๒๐ ก.ย. ๒๕๔๔
เวลาวาบ	flashing time	๒๐ ก.ย. ๒๕๔๔
เวลาสัมผัส	touch time	๒๐ ก.ย. ๒๕๔๔
เวลาหลังเชื่อม	post-weld time	๒๐ ก.ย. ๒๕๔๔
เวลาหน่วงเชื่อม	weld delay time	๒๐ ก.ย. ๒๕๔๔
เวลาหน่วงกด	forge delay time	๒๐ ก.ย. ๒๕๔๔
เวลาใช้แรงกด	pressure application time	๒๐ ก.ย. ๒๕๔๔
เวลาเชื่อม	weld time	๒๐ ก.ย. ๒๕๔๔
เวลาเชื่อมยู่	upset time	๒๐ ก.ย. ๒๕๔๔
เวลาเชื่อมกดยู่	upsetting time	๒๐ ก.ย. ๒๕๔๔
เวลาเดินเครื่องเปล่า	idling time	๒๐ ก.ย. ๒๕๔๔
เวลากระแสเชื่อมยู่	upset current time	๒๐ ก.ย. ๒๕๔๔
เวลาก่อนเชื่อม	pre-weld time	๒๐ ก.ย. ๒๕๔๔
เวลาการเชื่อม	welding time	๒๐ ก.ย. ๒๕๔๔
เวลาการหยุด	stopping time	๒๐ ก.ย. ๒๕๔๔
เวลากด	squeeze time	๒๐ ก.ย. ๒๕๔๔
เวลากดยู่	forge time; forging time	๒๐ ก.ย. ๒๕๔๔
เวลากดเชื่อม	welding pressure time	๒๐ ก.ย. ๒๕๔๔
เวลากดค้าง	dwell time; hold time	๒๐ ก.ย. ๒๕๔๔
เวลาคงความดันอุ่นหลังเชื่อม	post-heating pressure time	๒๐ ก.ย. ๒๕๔๔
เวลาคืนสภาพ	recovery time	๒๐ ก.ย. ๒๕๔๔
เวลาต่อเที่ยวเชื่อม	rate of travel; travel speed	๒๐ ก.ย. ๒๕๔๔
เวลาปลดแรงกด	pressure-off time	๒๐ ก.ย. ๒๕๔๔
เวลาพัลส์	pulse time	๒๐ ก.ย. ๒๕๔๔
เวลาปล่อยเย็น	chill time; quench time	๒๐ ก.ย. ๒๕๔๔
เวลาปล่อยกระแสอุ่นหลังเชื่อม	post-heat time	๒๐ ก.ย. ๒๕๔๔
เวลาปลอดกระแส	current-off time	๒๐ ก.ย. ๒๕๔๔
ระยะเว้นก่อนเชื่อม	stand-off distance; stand-off gap	๒๐ ก.ย. ๒๕๔๔
ระยะยู่	upset length	๒๐ ก.ย. ๒๕๔๔
ระยะยู่เสียดทาน	burn-off length	๒๐ ก.ย. ๒๕๔๔
ระยะยก	lift	๒๐ ก.ย. ๒๕๔๔
ระยะเคลื่อนยู่	upset travel	๒๐ ก.ย. ๒๕๔๔
ระยะเผื่อวาบ	flashing allowance	๒๐ ก.ย. ๒๕๔๔
ระยะเผื่ออุ่นก่อนวาบ	preheating allowance	๒๐ ก.ย. ๒๕๔๔
ระยะวาบ	flashing travel	๒๐ ก.ย. ๒๕๔๔
ระยะเชื่อม	work distance	๒๐ ก.ย. ๒๕๔๔
ระยะเบน	drag	๒๐ ก.ย. ๒๕๔๔
ระยะเผื่อรวม	total allowance	๒๐ ก.ย. ๒๕๔๔
ระยะเผื่อยู่	upset allowance	๒๐ ก.ย. ๒๕๔๔
ระยะหลอมลึก	fusion penetration	๒๐ ก.ย. ๒๕๔๔
ระยะสึก	wearing depth	๒๐ ก.ย. ๒๕๔๔
ระยะหดรวม	total loss	๒๐ ก.ย. ๒๕๔๔
ระยะหดขณะวาบ	flashing loss	๒๐ ก.ย. ๒๕๔๔
ระยะหดขณะอุ่นก่อนวาบ	preheating loss	๒๐ ก.ย. ๒๕๔๔
ระยะอาร์ก	arc length	๒๐ ก.ย. ๒๕๔๔
ระยะลึก	throat; throat depth	๒๐ ก.ย. ๒๕๔๔
ระยะกดยู่	forge length	๒๐ ก.ย. ๒๕๔๔
