-(พ่วง)ท้าย	trailer	๑๙ มิ.ย. ๒๕๔๔
-เรียกเลขหมาย	dial-up	๑๙ มิ.ย. ๒๕๔๔
-เรียกซ้ำ	recursive	๑๙ มิ.ย. ๒๕๔๔
-ระยะไกล	remote	๑๙ มิ.ย. ๒๕๔๔
-แฮช; แฮชชิง	hashing	๑๙ มิ.ย. ๒๕๔๔
-ภาวะเย็นยวดยิ่ง	cryogenic	๑๙ มิ.ย. ๒๕๔๔
-ภาพ; วีดิทัศน์	video	๑๙ มิ.ย. ๒๕๔๔
-เลขที่อยู่เดียว	one address	๑๙ มิ.ย. ๒๕๔๔
-เลขที่อยู่หนึ่งบวกหนึ่ง	one-plus-one address	๑๙ มิ.ย. ๒๕๔๔
-เข้ารหัสตายตัว	hard-coded	๑๙ มิ.ย. ๒๕๔๔
-ใช้เครื่อง	hands-on	๑๙ มิ.ย. ๒๕๔๔
-เน้นไอ/โอ	I/O bound	๑๙ มิ.ย. ๒๕๔๔
-เน้นซีพียู	CPU bound	๑๙ มิ.ย. ๒๕๔๔
-มือถือ	handheld	๑๙ มิ.ย. ๒๕๔๔
-มุมมองสามมิติ	stereoscopic	๑๙ มิ.ย. ๒๕๔๔
-วน, มีวง	cyclic	๑๙ มิ.ย. ๒๕๔๔
-วางตัก	laptop	๑๙ มิ.ย. ๒๕๔๔
-ส่วนจำเพาะ, มอดุลาร์; การใช้ส่วนจำเพาะ	modular	๑๙ มิ.ย. ๒๕๔๔
-ส่วนหลัง	back-end	๑๙ มิ.ย. ๒๕๔๔
-ส่วนหน้า	front-end	๑๙ มิ.ย. ๒๕๔๔
-สองขั้ว	bipolar	๑๙ มิ.ย. ๒๕๔๔
-สองเลขที่อยู่	two address	๑๙ มิ.ย. ๒๕๔๔
-สามเลขที่อยู่	three address	๑๙ มิ.ย. ๒๕๔๔
-กระเป๋าหิ้ว, เคลื่อนย้ายง่าย; ใช้ได้หลายระบบ	portable	๑๙ มิ.ย. ๒๕๔๔
-ข้ามเขต	transborder	๑๙ มิ.ย. ๒๕๔๔
-คอมพิวเตอร์; การคณนา, การคำนวณ; การคอมพิวเตอร์; วิชาการคอมพิวเตอร์	computing	๑๙ มิ.ย. ๒๕๔๔
-คิดเลขเร็ว	number crunching	๑๙ มิ.ย. ๒๕๔๔
-จุดลอยตัว; อิงดรรชนี	floating-point	๑๙ มิ.ย. ๒๕๔๔
-จุดตรึง; ไม่อิงดรรชนี	fixed-point	๑๙ มิ.ย. ๒๕๔๔
-ฐานความรู้	knowledge-based	๑๙ มิ.ย. ๒๕๔๔
-ตั้งโต๊ะ; เดสก์ท็อป	desktop	๑๙ มิ.ย. ๒๕๔๔
-ตัวเลข	numeric	๑๙ มิ.ย. ๒๕๔๔
-ตัวอักษร	alphabetic	๑๙ มิ.ย. ๒๕๔๔
-(พ่วง)ท้าย	trailer	๑๙ มิ.ย. ๒๕๔๔
