ฟัน; ซี่ฟัน	tooth	๑๓ มี.ค. ๒๕๔๕
-เริ่มเป็น	incipient	๑๓ มี.ค. ๒๕๔๕
-ระหว่างฟันข้างเคียง	interdental; interproximal	๑๓ มี.ค. ๒๕๔๕
-เหลืออยู่, -ตกค้าง; ส่วนตกค้าง	residual	๑๓ มี.ค. ๒๕๔๕
-ราก	radicular	๑๓ มี.ค. ๒๕๔๕
-มีฟัน	dentulous	๑๓ มี.ค. ๒๕๔๕
-รูปก้นหอย; กระดูกก้นหอย	concha	๑๓ มี.ค. ๒๕๔๕
-ในปาก	intraoral	๑๓ มี.ค. ๒๕๔๕
-ใบหน้าขากรรไกร	maxillofacial	๑๓ มี.ค. ๒๕๔๕
-ยื่น	protrusive	๑๓ มี.ค. ๒๕๔๕
-ยื่นเกิน	overextended	๑๓ มี.ค. ๒๕๔๕
-ยืดหยุ่น	elastic	๑๓ มี.ค. ๒๕๔๕
-สบ(ฟัน); -บดเคี้ยว	occlusal	๑๓ มี.ค. ๒๕๔๕
-สบสับหว่าง	intercuspal	๑๓ มี.ค. ๒๕๔๕
-สบไขว้	cross-bite; X-bite	๑๓ มี.ค. ๒๕๔๕
-สบ(ฟัน); -บดเคี้ยว	occlusal	๑๓ มี.ค. ๒๕๔๕
-อุดเกิน	overfilled	๑๓ มี.ค. ๒๕๔๕
-ลุกลาม (โรค); -ก้าวหน้า	progressive	๑๓ มี.ค. ๒๕๔๕
-ลุกลาม (โรค); -ก้าวหน้า	progressive	๑๓ มี.ค. ๒๕๔๕
-ไร้ฟัน	edentate; edentulate; edentulous	๑๓ มี.ค. ๒๕๔๕
-ไวเกิน	hypersensitive	๑๓ มี.ค. ๒๕๔๕
-ไกลกลาง; -ปลาย	distal	๑๓ มี.ค. ๒๕๔๕
-กระดูกอ่อน	cartilaginous	๑๓ มี.ค. ๒๕๔๕
-ก้าวหน้า; -ลุกลาม (โรค)	progressive	๑๓ มี.ค. ๒๕๔๕
-ข้อต่อ	articular	๑๓ มี.ค. ๒๕๔๕
-คอนดายล์	condylar	๑๓ มี.ค. ๒๕๔๕
-ช่วยพยากรณ์โรค; อาการช่วยพยากรณ์โรค	prognostic	๑๓ มี.ค. ๒๕๔๕
-ด้านแก้ม	buccal	๑๓ มี.ค. ๒๕๔๕
-ตกค้าง, -เหลืออยู่; ส่วนตกค้าง	residual	๑๓ มี.ค. ๒๕๔๕
-ทันตกรรม; -ฟัน	dental	๑๓ มี.ค. ๒๕๔๕
-นอกศูนย์	eccentric	๑๓ มี.ค. ๒๕๔๕
-นอกปาก	extraoral	๑๓ มี.ค. ๒๕๔๕
-บูรณะ	restorative	๑๓ มี.ค. ๒๕๔๕
-บดเคี้ยว; -สบ(ฟัน)	occlusal	๑๓ มี.ค. ๒๕๔๕
-ป้องกัน	preventive	๑๓ มี.ค. ๒๕๔๕
-ประดิษฐ์	prosthetic	๑๓ มี.ค. ๒๕๔๕
-ปลาย; -ไกลกลาง	distal	๑๓ มี.ค. ๒๕๔๕
-ฟัน; -ทันตกรรม	dental	๑๓ มี.ค. ๒๕๔๕
-ฟันเลื่อย	serrated	๑๓ มี.ค. ๒๕๔๕
-ฟันหน้า	incisal	๑๓ มี.ค. ๒๕๔๕
เมโซเดิร์ม	mesoderm	๑๓ มี.ค. ๒๕๔๕
แม่เหล็กยึดฟันปลอม; ฟันปลอมร่วมแม่เหล็ก	denture magnet	๑๓ มี.ค. ๒๕๔๕
แม่แบบ	die	๑๓ มี.ค. ๒๕๔๕
เรียงฟันปลอม; ต่อกัน; ไถ(ฟัน); ออกเสียงชัด	articulate	๑๓ มี.ค. ๒๕๔๕
-เริ่มเป็น	incipient	๑๓ มี.ค. ๒๕๔๕
โรคเริมในช่องปาก	herpetic gingivostomatitis	๑๓ มี.ค. ๒๕๔๕
โรคเหงือกอักเสบ	gingivitis	๑๓ มี.ค. ๒๕๔๕
โรคเหงือกอักเสบเนื้อตายเรื้อรัง	chronic necrotising ulcerative gingivitis	๑๓ มี.ค. ๒๕๔๕
โรคเหงือกอักเสบเนื้อตายเฉียบพลัน (อะนัก)	acute necrotising ulcerative gingivitis (ANUG); trench mouth; Vincent’s gingivitis; Vincent’s infection; Vincent’s stomatitis	๑๓ มี.ค. ๒๕๔๕
โรคเหงือกอักเสบเนื้อตายลุกลาม	necrotising ulcerative gingivostomatitis; Vincent’s angina	๑๓ มี.ค. ๒๕๔๕
โรคเหงือกอักเสบล่อนหลุด	gingivosis	๑๓ มี.ค. ๒๕๔๕
โรคเหงือกอักเสบลอกหลุด	desquamative gingivitis	๑๓ มี.ค. ๒๕๔๕
โรคหมอทำ	iatrogenic	๑๓ มี.ค. ๒๕๔๕
โรคปริทันต์	periodontal disease	๑๓ มี.ค. ๒๕๔๕
โรคปริทันต์อักเสบ	periodontitis	๑๓ มี.ค. ๒๕๔๕
