-เรียงขนาด; เกี่ยวกับสมดุล; -คัดขนาด	graded	๑๔ ม.ค. ๒๕๔๖
-ระดับลึก; -ก้นสมุทร	abyssal	๑๔ ม.ค. ๒๕๔๖
-ระดับลึก	deep-seated; hypogene; plutonic	๑๔ ม.ค. ๒๕๔๖
-ระดับความสูง	hypsometric	๑๔ ม.ค. ๒๕๔๖
-ระดับตื้น	hypabyssal; subvolcanic	๑๔ ม.ค. ๒๕๔๖
-เศษหิน; หินเนื้อประสม	clastic	๑๔ ม.ค. ๒๕๔๖
-เสื่อมทางชีวภาพ	biodegradable	๑๔ ม.ค. ๒๕๔๖
-ภาวะอาศัยเพศ	microspheric	๑๔ ม.ค. ๒๕๔๖
-ภาวะไม่อาศัยเพศ	megalospheric	๑๔ ม.ค. ๒๕๔๖
-รูปเรียว; -รูปเข็ม	acicular	๑๔ ม.ค. ๒๕๔๖
-รูปเข็ม; -รูปเรียว	acicular	๑๔ ม.ค. ๒๕๔๖
-รูปตา	augen	๑๔ ม.ค. ๒๕๔๖
-เกิดอยู่กับที่	sedentary	๑๔ ม.ค. ๒๕๔๖
-เกิดที่เดิม	autochthonous	๑๔ ม.ค. ๒๕๔๖
-เกิดที่อื่น	allochthonous	๑๔ ม.ค. ๒๕๔๖
-ใช้ออกซิเจน	aerobic	๑๔ ม.ค. ๒๕๔๖
-เชื่อมประสาน	agglutinated	๑๔ ม.ค. ๒๕๔๖
-เนื้อเสี้ยนแปร	nematoblastic	๑๔ ม.ค. ๒๕๔๖
-เนื้อเหล็ก	ferriferous	๑๔ ม.ค. ๒๕๔๖
-เนื้อเถ้าภูเขาไฟ	tuffaceous	๑๔ ม.ค. ๒๕๔๖
-เนื้อแบบเพอร์ไทต์	perthitic	๑๔ ม.ค. ๒๕๔๖
-เนื้อแบบน้ำตาลทราย	sacharoidal; sugary	๑๔ ม.ค. ๒๕๔๖
-เนื้อแผ่นแปร	lepidoblastic	๑๔ ม.ค. ๒๕๔๖
-เนื้อหยาบ	coarse-grained	๑๔ ม.ค. ๒๕๔๖
-เนื้อสารอินทรีย์; -เนื้อถ่าน, -เนื้อคาร์บอน	carbonaceous	๑๔ ม.ค. ๒๕๔๖
-เนื้อหินทรายแปร	blastopsammitic	๑๔ ม.ค. ๒๕๔๖
-เนื้อละเอียด	fine-grained	๑๔ ม.ค. ๒๕๔๖
-เนื้อคาร์บอน, -เนื้อถ่าน; -เนื้อสารอินทรีย์	carbonaceous	๑๔ ม.ค. ๒๕๔๖
-เนื้อจุณ	aphanitic	๑๔ ม.ค. ๒๕๔๖
-เนื้อซิลิกา	siliceous	๑๔ ม.ค. ๒๕๔๖
-เนื้อดอกเม็ดแปร	granuloblastic	๑๔ ม.ค. ๒๕๔๖
-เนื้อดอกเทียม	blastoporphyritic	๑๔ ม.ค. ๒๕๔๖
-เนื้อดอกแปร	porphyroblastic	๑๔ ม.ค. ๒๕๔๖
-เนื้อดิน	argillaceous	๑๔ ม.ค. ๒๕๔๖
-เนื้อใยแปร	fibroblastic	๑๔ ม.ค. ๒๕๔๖
-เนื้อเม็ดแปร	granoblastic	๑๔ ม.ค. ๒๕๔๖
-เนื้อเม็ดไม่เท่า	heterogranular; inequigranular	๑๔ ม.ค. ๒๕๔๖
-เนื้อถ่าน, -เนื้อคาร์บอน; -เนื้อสารอินทรีย์	carbonaceous	๑๔ ม.ค. ๒๕๔๖
-เนื้อทรรศน์	phaneritic	๑๔ ม.ค. ๒๕๔๖
-เนื้อปานกลาง	medium-grained	๑๔ ม.ค. ๒๕๔๖
-เนื้อปูน	calcareous	๑๔ ม.ค. ๒๕๔๖
-เนื้อผสมปูน	limy	๑๔ ม.ค. ๒๕๔๖
-เบส	basic	๑๔ ม.ค. ๒๕๔๖
-แปรสภาพแบบแทนที่	metasomatic	๑๔ ม.ค. ๒๕๔๖
-โพรงข่าย	cellular	๑๔ ม.ค. ๒๕๔๖
-โพรงข่าย	vescicular	๑๔ ม.ค. ๒๕๔๖
-สาหร่าย	algal	๑๔ ม.ค. ๒๕๔๖
-อัญรูป	allotropic	๑๔ ม.ค. ๒๕๔๖
-อสมมาตร	asymmetrical	๑๔ ม.ค. ๒๕๔๖
-อสมมิติ	anisometric	๑๔ ม.ค. ๒๕๔๖
-ลักษณะผลึกไร้หน้า	allotriomorphic; xenomorphic	๑๔ ม.ค. ๒๕๔๖
-กรด	acidic	๑๔ ม.ค. ๒๕๔๖
-ก้นสมุทร; -ระดับลึก	abyssal	๑๔ ม.ค. ๒๕๔๖
-ก้นสมุทร, -ท้องทะเลก้นสมุทร	abyssopelagic	๑๔ ม.ค. ๒๕๔๖
-ก้นสมุทร, -ท้องทะเล, -ท้องสมุทร	pelagic	๑๔ ม.ค. ๒๕๔๖
-กลิ่นกระเทียม	alliaceous	๑๔ ม.ค. ๒๕๔๖
-คัดขนาด; เกี่ยวกับสมดุล; -เรียงขนาด	graded	๑๔ ม.ค. ๒๕๔๖
-ชั้น	bedded	๑๔ ม.ค. ๒๕๔๖
-ชายฝั่ง	littoral	๑๔ ม.ค. ๒๕๔๖
-ด้านปาก	adoral	๑๔ ม.ค. ๒๕๔๖
-ด้านท้อง	ventral	๑๔ ม.ค. ๒๕๔๖
-ตรงข้ามปาก	aboral	๑๔ ม.ค. ๒๕๔๖
-ตะกอนน้ำพา	alluvial	๑๔ ม.ค. ๒๕๔๖
-ต่างถิ่น	allogenic	๑๔ ม.ค. ๒๕๔๖
-ถ้ำ	cavernous	๑๔ ม.ค. ๒๕๔๖
-ถิ่นเดิม	authigenic	๑๔ ม.ค. ๒๕๔๖
-ท้องสมุทร, -ท้องทะเล, -ก้นสมุทร	pelagic	๑๔ ม.ค. ๒๕๔๖
-ท้องถิ่น; การระบายน้ำแบบอิสระ	autogenic	๑๔ ม.ค. ๒๕๔๖
-ท้องทะเล, -ท้องสมุทร, -ก้นสมุทร	pelagic	๑๔ ม.ค. ๒๕๔๖
-ท้องทะเลลึก	bathypelagic	๑๔ ม.ค. ๒๕๔๖
-ท้องทะเลลึกปานกลาง	mesopelagic	๑๔ ม.ค. ๒๕๔๖
-ท้องทะเลก้นสมุทร, -ก้นสมุทร	abyssopelagic	๑๔ ม.ค. ๒๕๔๖
-ทองแดง	cuprous	๑๔ ม.ค. ๒๕๔๖
-ปนเหล็ก	ferruginous	๑๔ ม.ค. ๒๕๔๖
-ผลึก; สารผลึก; เนื้อผลึก	crystalline	๑๔ ม.ค. ๒๕๔๖
-ผลึกหน้าสมบูรณ์	automorphic; idiomorphic	๑๔ ม.ค. ๒๕๔๖
a axis	แกนเอ	๑๔ ม.ค. ๒๕๔๖
A horizon	ชั้นเอ	๑๔ ม.ค. ๒๕๔๖
α quartz; alpha quartz	แอลฟาควอตซ์	๑๔ ม.ค. ๒๕๔๖
β quartz; beta quartz	บีตาควอนต์	๑๔ ม.ค. ๒๕๔๖
A-layer	ชั้นไหวสะเทือนเอ	๑๔ ม.ค. ๒๕๔๖
aa	อาอา	๑๔ ม.ค. ๒๕๔๖
โมรา, อะเกต	agate	๑๔ ม.ค. ๒๕๔๖
