"versus (""v"") (L.)"	ระหว่าง...กับ...	๑๑ มี.ค. ๒๕๔๕
A 1	ชั้น ๑, ชั้นเยี่ยม	๑๑ มี.ค. ๒๕๔๕
à bon droit (Fr.)	สิทธิโดยชอบ	๑๑ มี.ค. ๒๕๔๕
a fortiori (L.)	ยิ่งกว่านั้น, ยิ่งขึ้นอีก	๑๑ มี.ค. ๒๕๔๕
a mensa et thoro (L.)	การแยกกันอยู่ก่อนหย่าขาด (ตามคำสั่งศาล)	๑๑ มี.ค. ๒๕๔๕
a posteriori (L.)	จากผลไปหาเหตุ	๑๑ มี.ค. ๒๕๔๕
a priori (L.)	จากเหตุไปหาผล	๑๑ มี.ค. ๒๕๔๕
à rendre (Fr.)	ที่ต้องคืน	๑๑ มี.ค. ๒๕๔๕
à terme (Fr.)	ชั่วกำหนดเวลา (ก. ฝรั่งเศส)	๑๑ มี.ค. ๒๕๔๕
à terme de sa vie (Fr.)	ชั่วชีวิต (ก. ฝรั่งเศส)	๑๑ มี.ค. ๒๕๔๕
à tort (Fr.)	โดยมิชอบ, โดยไม่มีเหตุผล (ก. ฝรั่งเศส)	๑๑ มี.ค. ๒๕๔๕
ภรรยาที่ไม่ได้สมรสตามกฎหมาย	common law wife	๑๑ มี.ค. ๒๕๔๕
A.R. (Anno Regni)	ปีในรัชกาล, เป็นปีที่ ... ในรัชกาล	๑๑ มี.ค. ๒๕๔๕
แม่ม่าย	widow	๑๑ มี.ค. ๒๕๔๕
แย่ง	oust	๑๑ มี.ค. ๒๕๔๕
แม่บ้าน	housewife	๑๑ มี.ค. ๒๕๔๕
แย้งกัน	inconsistent	๑๑ มี.ค. ๒๕๔๕
แม่น้ำการเดินเรือ	navigable river	๑๑ มี.ค. ๒๕๔๕
เรียกร้องคืน	reclaim	๑๑ มี.ค. ๒๕๔๕
เรียกมาให้คำรับรอง	vouch	๑๑ มี.ค. ๒๕๔๕
เรียกมาเป็นพยาน	vouch	๑๑ มี.ค. ๒๕๔๕
ภยันตราย	danger; risk	๑๑ มี.ค. ๒๕๔๕
ภยันตรายร่วม	common peril	๑๑ มี.ค. ๒๕๔๕
ภยันตรายฉุกเฉิน	immediate danger	๑๑ มี.ค. ๒๕๔๕
ภยันตรายที่ใกล้จะถึง	imminent danger	๑๑ มี.ค. ๒๕๔๕
เยียวยา	remedy	๑๑ มี.ค. ๒๕๔๕
ภริยาหลวง	principal wife	๑๑ มี.ค. ๒๕๔๕
ภริยาลับ	concubine	๑๑ มี.ค. ๒๕๔๕
ภริยาฆาต	uxoricide	๑๑ มี.ค. ๒๕๔๕
ภริยาน้อย	secondary wife	๑๑ มี.ค. ๒๕๔๕
ภริยานอกสมรส	concubine	๑๑ มี.ค. ๒๕๔๕
เรียก	vouch	๑๑ มี.ค. ๒๕๔๕
เรียกให้ (กระทำการ)	demand	๑๑ มี.ค. ๒๕๔๕
เรียกให้เวนคืนหนังสือมอบอำนาจ	demand the surrender of a written authority	๑๑ มี.ค. ๒๕๔๕
เรียกให้ชำระหนี้	demand the performance	๑๑ มี.ค. ๒๕๔๕
เรียกร้อง	demand	๑๑ มี.ค. ๒๕๔๕
เรียกร้องโดยข่มขู่	demand with menaces	๑๑ มี.ค. ๒๕๔๕
เรียกประกันทัณฑ์บน	excute a bond with security	๑๑ มี.ค. ๒๕๔๕
เรียกพยาน	summon a witness	๑๑ มี.ค. ๒๕๔๕
เรียงตามวันและเวลา	respective dates and hours	๑๑ มี.ค. ๒๕๔๕
เยาวชน	young person	๑๑ มี.ค. ๒๕๔๕
เยาวชนผู้กระทำความผิดอาญา	juvenile delinquent; juvenile offender	๑๑ มี.ค. ๒๕๔๕
เริ่มต้นใหม่	renew	๑๑ มี.ค. ๒๕๔๕
แยกอยู่คนเดียว	sole	๑๑ มี.ค. ๒๕๔๕
แยกออก	sever	๑๑ มี.ค. ๒๕๔๕
แมกนาคาร์ตา	Magna Carta	๑๑ มี.ค. ๒๕๔๕
โภคภัณฑ์	commodity	๑๑ มี.ค. ๒๕๔๕
โภคยทรัพย์	consumable things	๑๑ มี.ค. ๒๕๔๕
โรคจากงานอาชีพ	occupational disease	๑๑ มี.ค. ๒๕๔๕
โรคจิต	psychosis	๑๑ มี.ค. ๒๕๔๕
โรคชอบขโมย	kleptomania	๑๑ มี.ค. ๒๕๔๕
โรคซึ่งเกิดขึ้นเกี่ยวเนื่องกับการทำงาน	industrial disease	๑๑ มี.ค. ๒๕๔๕
โรคที่กำหนด	prescribed disease	๑๑ มี.ค. ๒๕๔๕
โรคพิษสุราเรื้อรัง	chronic alcoholism	๑๑ มี.ค. ๒๕๔๕
