“losses occurring” basis	หลักกำหนดระยะเวลาความเสียหาย	๒ มี.ค. ๒๕๔๕
“losses to extinction” basis	หลักยกยอดขาดทุน	๒ มี.ค. ๒๕๔๕
“three years’ average” system	ระบบเฉลี่ยสามปี	๒ มี.ค. ๒๕๔๕
โรคภัยเนื่องจากอาชีพ	occupational disease	๒ มี.ค. ๒๕๔๕
มรดกมีพินัยกรรม	testate	๒ มี.ค. ๒๕๔๕
เมื่อหมดอายุ	as expiry	๒ มี.ค. ๒๕๔๕
abandonment	การสละทิ้ง	๒ มี.ค. ๒๕๔๕
เรือที่ระบุชื่อ	named steamer	๒ มี.ค. ๒๕๔๕
abandonment policy	กรมธรรม์คุ้มครองการเลิกล้ม	๒ มี.ค. ๒๕๔๕
abnormal risk	การเสี่ยงภัยผิดปรกติ	๒ มี.ค. ๒๕๔๕
absolute assignment	การโอนสิทธิ์สมบูรณ์	๒ มี.ค. ๒๕๔๕
abstainers insurance	การประกันภัยผู้ไม่ดื่มของมึนเมา	๒ มี.ค. ๒๕๔๕
accelerated endowment	การใช้เงินปันผลเร่งให้สัญญาครบกำหนด	๒ มี.ค. ๒๕๔๕
accelerated paid-up	การใช้เงินปันผลสมทบจนครบจำนวน	๒ มี.ค. ๒๕๔๕
acceptance	"การสนอง <i>ดู <a href=""/coinages/websearch.php?Wd=offer+and+acceptance&amp;Sj=0"">offer and acceptance</a></i>"	๒ มี.ค. ๒๕๔๕
acceptance letter	จดหมายสนองรับ	๒ มี.ค. ๒๕๔๕
accepted value	มูลค่าที่ยอมรับ	๒ มี.ค. ๒๕๔๕
accident frequency	ความถี่ของอุบัติเหตุ	๒ มี.ค. ๒๕๔๕
accident insurance	การประกันภัยอุบัติเหตุ	๒ มี.ค. ๒๕๔๕
accident severity	ความรุนแรงของอุบัติเหตุ	๒ มี.ค. ๒๕๔๕
accidental bodily injury	การบาดเจ็บโดยอุบัติเหตุ	๒ มี.ค. ๒๕๔๕
accidental death benefit	"ผลประโยชน์เมื่อถึงแก่กรรมโดยอุบัติเหตุ <i>ดู <a href=""/coinages/websearch.php?Wd=double+indemnity&amp;Sj=0"">double indemnity</a></i>"	๒ มี.ค. ๒๕๔๕
accident	อุบัติเหตุ	๒ มี.ค. ๒๕๔๕
accident and health insurance	การประกันภัยอุบัติเหตุและสุขภาพ	๒ มี.ค. ๒๕๔๕
accidental means	วิถีอุบัติเหตุ	๒ มี.ค. ๒๕๔๕
accommodation business	ธุรกิจเกื้อกูล	๒ มี.ค. ๒๕๔๕
account agent	"ตัวแทนเงินเชื่อ <i>มีความหมายเหมือนกับ <a href=""/coinages/websearch.php?Wd=credit+agent&amp;Sj=0"">credit agent</a></i>"	๒ มี.ค. ๒๕๔๕
account sales	ใบแจ้งการขาย	๒ มี.ค. ๒๕๔๕
accountants clause	ข้อกำหนดนักบัญชี	๒ มี.ค. ๒๕๔๕
เว้นแต่เกิดจาก	unless caused by	๒ มี.ค. ๒๕๔๕
เว้นแต่ความเสียหายร่วม	unless general	๒ มี.ค. ๒๕๔๕
acquisition cost	ค่าใช้จ่ายในการขาย	๒ มี.ค. ๒๕๔๕
acquisition expenses	"<i>มีความหมายเหมือนกับ <a href=""/coinages/websearch.php?Wd=acquisition+cost&amp;Sj=0"">acquisition cost</a></i>"	๒ มี.ค. ๒๕๔๕
act of God	เหตุสุดวิสัย(ตามธรรมชาติ)	๒ มี.ค. ๒๕๔๕
actual total loss	ความเสียหายสิ้นเชิงแท้จริง	๒ มี.ค. ๒๕๔๕
actuary	นักคณิตศาสตร์ประกันภัย	๒ มี.ค. ๒๕๔๕
actual deaths	การตายจริง	๒ มี.ค. ๒๕๔๕
ระยะรอรับผลประโยชน์	deferred period	๒ มี.ค. ๒๕๔๕
ระยะเริ่มแรก	initial period	๒ มี.ค. ๒๕๔๕
ระยะไม่คุ้มครอง	waiting period	๒ มี.ค. ๒๕๔๕
ระยะชดใช้ค่าสินไหมทดแทน	indemnity period	๒ มี.ค. ๒๕๔๕
ระยะตรวจพบ	discovery period	๒ มี.ค. ๒๕๔๕
ระยะปลอดพันธะ	cooling-off period	๒ มี.ค. ๒๕๔๕
ระยะผ่อนผัน	grace period	๒ มี.ค. ๒๕๔๕
