ภรรยานอกสมรส	concubine	๔ ก.พ. ๒๕๔๕
เร่ร่อน	nomadic	๔ ก.พ. ๒๕๔๕
แม่ม่าย (ผัวตาย)	widow	๔ ก.พ. ๒๕๔๕
เมสติโซ	mestizo	๔ ก.พ. ๒๕๔๕
แม่น	accurate	๔ ก.พ. ๒๕๔๕
แม่บ้าน	housewife	๔ ก.พ. ๒๕๔๕
เยาว์วัยลง	younging	๔ ก.พ. ๒๕๔๕
เยาวชน	"adolescent; <a href=""/coinages/websearch.php?Wd=young+person&amp;Sj=0"">young person</a>; <a href=""/coinages/websearch.php?Wd=youth&amp;Sj=0"">youth</a>"	๔ ก.พ. ๒๕๔๕
เรียงลำดับ	sort	๔ ก.พ. ๒๕๔๕
เยลลีคุมกำเนิด	contraceptive jelly	๔ ก.พ. ๒๕๔๕
แยกตัวออกมา	isolate	๔ ก.พ. ๒๕๔๕
แยกออก	segregate	๔ ก.พ. ๒๕๔๕
แรกเกิด	newborn	๔ ก.พ. ๒๕๔๕
โรค	disease	๔ ก.พ. ๒๕๔๕
โรคเรื้อรัง	chronic disease	๔ ก.พ. ๒๕๔๕
โรคระบาด	"epidemic; <a href=""/coinages/websearch.php?Wd=epidemic+disease&amp;Sj=0"">epidemic disease</a>"	๔ ก.พ. ๒๕๔๕
โรคเฉพาะอาชีพ	occupational disease	๔ ก.พ. ๒๕๔๕
โรคติดเชื้อ	infectious disease	๔ ก.พ. ๒๕๔๕
โรคติดต่อ	communicable disease	๔ ก.พ. ๒๕๔๕
โรคติดต่อต้องแจ้งความ	notifiable disease	๔ ก.พ. ๒๕๔๕
โรคติดต่อทางสัมผัส	contagious disease	๔ ก.พ. ๒๕๔๕
โรคประจำถิ่น	endemic disease	๔ ก.พ. ๒๕๔๕
โรคปัจจุบัน	acute disease	๔ ก.พ. ๒๕๔๕
โรงเรียนมัธยมศึกษา	secondary school	๔ ก.พ. ๒๕๔๕
โรงเรียนเตรียมอนุบาล	nursery school	๔ ก.พ. ๒๕๔๕
โรงเรียนวิชาชีพ	professional school	๔ ก.พ. ๒๕๔๕
โรงเรียนอนุบาล	kindergarten	๔ ก.พ. ๒๕๔๕
โรงเรียนประถมศึกษา	"elementary school; <a href=""/coinages/websearch.php?Wd=primary+school&amp;Sj=0"">primary school</a>"	๔ ก.พ. ๒๕๔๕
แรงกดดัน	pressure	๔ ก.พ. ๒๕๔๕
แรงงาน	labour	๔ ก.พ. ๒๕๔๕
แรงผลักดันภาวะการตาย	force of mortality	๔ ก.พ. ๒๕๔๕
มรณบัตร	death certificate	๔ ก.พ. ๒๕๔๕
เมืองศูนย์กลาง	central city	๔ ก.พ. ๒๕๔๕
เมืองหลวง	capital	๔ ก.พ. ๒๕๔๕
เมือง	town	๔ ก.พ. ๒๕๔๕
เมืองที่ตั้งเทศมณฑล	county town	๔ ก.พ. ๒๕๔๕
abdominal section	"การผ่าท้อง <i>[ดู <a href=""/coinages/websearch.php?Wd=celiotomy&amp;Sj=0"">celiotomy</a> และ <a href=""/coinages/websearch.php?Wd=laparotomy&amp;Sj=0"">laparotomy</a>]</i>"	๔ ก.พ. ๒๕๔๕
aboriginal	พื้นเมืองดั้งเดิม	๔ ก.พ. ๒๕๔๕
aborigine	ชนพื้นเมืองดั้งเดิม	๔ ก.พ. ๒๕๔๕
abort	แท้ง, ทำแท้ง, ทำให้แท้ง	๔ ก.พ. ๒๕๔๕
abortifacient	ยาแท้ง	๔ ก.พ. ๒๕๔๕
abortion rate	อัตราทำแท้ง	๔ ก.พ. ๒๕๔๕
abortion ratio	อัตราส่วนการทำแท้ง	๔ ก.พ. ๒๕๔๕
abortionist	ผู้ทำให้แท้ง, นักรีดลูก	๔ ก.พ. ๒๕๔๕
abortion	การแท้ง, การทำแท้ง, การทำให้แท้ง	๔ ก.พ. ๒๕๔๕
abortion by curettage	การทำให้แท้งโดยการขูดมดลูก	๔ ก.พ. ๒๕๔๕
abortion by dilatation and curettage	การทำให้แท้งโดยการขยายปากมดลูกและขูดมดลูก	๔ ก.พ. ๒๕๔๕
abortion by dilatation and evacuation	การทำให้แท้งโดยการขยายปากมดลูกเอาเด็กออก	๔ ก.พ. ๒๕๔๕
abortion by medical induction procedures	การทำให้แท้งโดยวิธีทางการแพทย์	๔ ก.พ. ๒๕๔๕
abortion by saline injection	การทำให้แท้งโดยการฉีดน้ำเกลือ	๔ ก.พ. ๒๕๔๕
abortion by suction	การทำให้แท้งโดยการดูดออก	๔ ก.พ. ๒๕๔๕
abortion by vacuum aspiration	การทำให้แท้งโดยเครื่องดูดสุญญากาศ	๔ ก.พ. ๒๕๔๕
abridged life table	ตารางชีพแบบย่อ	๔ ก.พ. ๒๕๔๕
absence	การไม่อยู่, การขาด	๔ ก.พ. ๒๕๔๕
absent	ไม่อยู่, ขาด	๔ ก.พ. ๒๕๔๕
absentee	ผู้ไม่อยู่	๔ ก.พ. ๒๕๔๕
absolute frequency	ความถี่สัมบูรณ์	๔ ก.พ. ๒๕๔๕
absolute number	จำนวนสัมบูรณ์	๔ ก.พ. ๒๕๔๕
abstain	งดเว้น (การร่วมเพศ)	๔ ก.พ. ๒๕๔๕
absorption	การดูดซึม	๔ ก.พ. ๒๕๔๕
abstinence	การงดเว้น (การร่วมเพศ)	๔ ก.พ. ๒๕๔๕
acceptance rate	อัตราการเข้ารับ (บริการคุมกำเนิด)	๔ ก.พ. ๒๕๔๕
accession to the labour force	"การเข้าสู่กำลังแรงงาน <i>[ดู <a href=""/coinages/websearch.php?Wd=entry+into+the+labour+force&amp;Sj=0"">entry into the labour force</a> และ <a href=""/coinages/websearch.php?Wd=first+accession+to+the+labour+force&amp;Sj=0"">first accession to the labour force</a>]</i>"	๔ ก.พ. ๒๕๔๕
accident	อุบัติเหตุ	๔ ก.พ. ๒๕๔๕
acculturation	การปรับตัวให้เข้ากับวัฒนธรรม	๔ ก.พ. ๒๕๔๕
accuracy	ความแม่น	๔ ก.พ. ๒๕๔๕
accurate	แม่น	๔ ก.พ. ๒๕๔๕
acknowledge	รับรอง	๔ ก.พ. ๒๕๔๕
acquired characteristic	ลักษณะที่ได้มา	๔ ก.พ. ๒๕๔๕
actual population	ประชากรที่มีอยู่จริง	๔ ก.พ. ๒๕๔๕
activity ratio	"อัตราส่วนการทำงาน (ของประชากร) <i>[ดู <a href=""/coinages/websearch.php?Wd=labour+force+participation+ratio&amp;Sj=0"">labour force participation ratio</a>]</i>"	๔ ก.พ. ๒๕๔๕
acute disease	โรคปัจจุบัน	๔ ก.พ. ๒๕๔๕
เวลาที่เป็นฐาน	base date	๔ ก.พ. ๒๕๔๕
เวชศาสตร์ผู้สูงอายุ	geriatrics	๔ ก.พ. ๒๕๔๕
ระยะเวลาที่ไม่อยู่	length of absence	๔ ก.พ. ๒๕๔๕
ระยะเวลาป่วยโดยเฉลี่ยต่อราย	average duration per case	๔ ก.พ. ๒๕๔๕
ระยะเริ่มหมดระดู	climacteric	๔ ก.พ. ๒๕๔๕
