ซอก [กิ่ง, ใบ], ง่าม	axil	๒๐ ก.พ. ๒๕๔๕
-รวมเพศ	androgynous	๒๐ ก.พ. ๒๕๔๕
-เส้นใบรูปฝ่ามือ	palmately veined; palminerved	๒๐ ก.พ. ๒๕๔๕
-เส้นใบแซม	dryobalanoid	๒๐ ก.พ. ๒๕๔๕
-เส้นใบแซมสั้น	sub-dryobalanoid	๒๐ ก.พ. ๒๕๔๕
-เส้นใบแบบขนนก	penninerved; pinnately veined	๒๐ ก.พ. ๒๕๔๕
-เส้นใบห้าเส้น [ใบประกอบแบบนิ้วมือ]	quinquenerved	๒๐ ก.พ. ๒๕๔๕
-เส้นใบขนาน	parallel veined	๒๐ ก.พ. ๒๕๔๕
-เส้นใบที่โคน	basinerved	๒๐ ก.พ. ๒๕๔๕
-ร่องเล็กตามยาว	canaliculate	๒๐ ก.พ. ๒๕๔๕
-ร่างแห	cancellate	๒๐ ก.พ. ๒๕๔๕
-รอยย่น	rugose; rugous	๒๐ ก.พ. ๒๕๔๕
-รอยขีด	aciculate	๒๐ ก.พ. ๒๕๔๕
-รอยด่าง; -เนื้อเมล็ดย่น	ruminate	๒๐ ก.พ. ๒๕๔๕
-ยอด, -ปลาย	apical; terminal	๒๐ ก.พ. ๒๕๔๕
-ภาคเหนือ	boreal	๒๐ ก.พ. ๒๕๔๕
-ภาคใต้	austral	๒๐ ก.พ. ๒๕๔๕
-รูปเมล็ดถั่ว	pisiform	๒๐ ก.พ. ๒๕๔๕
-รูปเรือ	cymbiform; navicular	๒๐ ก.พ. ๒๕๔๕
-รูประฆัง	bell-shaped; campanulate	๒๐ ก.พ. ๒๕๔๕
-รูปมะนาว	lemon-shaped; limoniform	๒๐ ก.พ. ๒๕๔๕
-รูปเห็ด	fungiform	๒๐ ก.พ. ๒๕๔๕
-รูปแส้	flagelliform	๒๐ ก.พ. ๒๕๔๕
-รูปเส้นด้าย	filiform	๒๐ ก.พ. ๒๕๔๕
-รูปรองเท้า	calceiform; calceolate	๒๐ ก.พ. ๒๕๔๕
-รูปมันแกว	napiform	๒๐ ก.พ. ๒๕๔๕
-รูปรี	elliptic; elliptical	๒๐ ก.พ. ๒๕๔๕
-รูปรียาว	long elliptic	๒๐ ก.พ. ๒๕๔๕
-รูปรีกว้าง	broad elliptic	๒๐ ก.พ. ๒๕๔๕
-รูปโล่	shield-shaped	๒๐ ก.พ. ๒๕๔๕
-รูปโล่รี	scutelliform	๒๐ ก.พ. ๒๕๔๕
-รูปโล่กลม	orbicular-peltate	๒๐ ก.พ. ๒๕๔๕
-รูปเลนส์	lens-shaped; lenticular	๒๐ ก.พ. ๒๕๔๕
-รูปเกือกม้า	hippocrepiform	๒๐ ก.พ. ๒๕๔๕
-รูปเข็ม	acicular	๒๐ ก.พ. ๒๕๔๕
-รูปใบหอกกลับ	oblanceolate	๒๐ ก.พ. ๒๕๔๕
-รูปใบดาบ	ensiform; gladiate	๒๐ ก.พ. ๒๕๔๕
-รูปวงแหวน	annular	๒๐ ก.พ. ๒๕๔๕
-รูปวงกลม	orbicular; orbiculate	๒๐ ก.พ. ๒๕๔๕
