ซอก <i>[กิ่ง, ใบ]</i>, ง่าม	axil	๒๐ ก.พ. ๒๕๔๕
-รวมเพศ	androgynous	๒๐ ก.พ. ๒๕๔๕
-เส้นใบรูปฝ่ามือ	"palmately veined; <a href=""/coinages/websearch.php?Wd=palminerved&amp;Sj=0"">palminerved</a>"	๒๐ ก.พ. ๒๕๔๕
-เส้นใบแซม	dryobalanoid	๒๐ ก.พ. ๒๕๔๕
-เส้นใบแซมสั้น	sub-dryobalanoid	๒๐ ก.พ. ๒๕๔๕
-เส้นใบแบบขนนก	"penninerved; <a href=""/coinages/websearch.php?Wd=pinnately+veined&amp;Sj=0"">pinnately veined</a>"	๒๐ ก.พ. ๒๕๔๕
-เส้นใบห้าเส้น <i>[ใบประกอบแบบนิ้วมือ]</i>	quinquenerved	๒๐ ก.พ. ๒๕๔๕
-เส้นใบขนาน	parallel veined	๒๐ ก.พ. ๒๕๔๕
-เส้นใบที่โคน	basinerved	๒๐ ก.พ. ๒๕๔๕
-ร่องเล็กตามยาว	canaliculate	๒๐ ก.พ. ๒๕๔๕
-ร่างแห	cancellate	๒๐ ก.พ. ๒๕๔๕
-รอยย่น	"rugose; <a href=""/coinages/websearch.php?Wd=rugous&amp;Sj=0"">rugous</a>"	๒๐ ก.พ. ๒๕๔๕
-รอยขีด	aciculate	๒๐ ก.พ. ๒๕๔๕
-รอยด่าง; -เนื้อเมล็ดย่น	ruminate	๒๐ ก.พ. ๒๕๔๕
-ยอด, -ปลาย	"apical; <a href=""/coinages/websearch.php?Wd=terminal&amp;Sj=0"">terminal</a>"	๒๐ ก.พ. ๒๕๔๕
-ภาคเหนือ	boreal	๒๐ ก.พ. ๒๕๔๕
-ภาคใต้	austral	๒๐ ก.พ. ๒๕๔๕
-รูปรี	"elliptic; <a href=""/coinages/websearch.php?Wd=elliptical&amp;Sj=0"">elliptical</a>"	๒๐ ก.พ. ๒๕๔๕
-รูปรียาว	long elliptic	๒๐ ก.พ. ๒๕๔๕
-รูปรีกว้าง	broad elliptic	๒๐ ก.พ. ๒๕๔๕
-รูปโล่	shield-shaped	๒๐ ก.พ. ๒๕๔๕
-รูปโล่รี	scutelliform	๒๐ ก.พ. ๒๕๔๕
-รูปโล่กลม	orbicular-peltate	๒๐ ก.พ. ๒๕๔๕
-รูปเลนส์	"lens-shaped; <a href=""/coinages/websearch.php?Wd=lenticular&amp;Sj=0"">lenticular</a>"	๒๐ ก.พ. ๒๕๔๕
