-ยนต์, มอเตอร์	motor	๑๒ มี.ค. ๒๕๔๕
A/F ratio; air-fuel ratio	อัตราส่วนเอ/เอฟ, อัตราส่วนอากาศต่อเชื้อเพลิง	๑๒ มี.ค. ๒๕๔๕
เม็ดกลม; ลูกปืน	ball	๑๒ มี.ค. ๒๕๔๕
แม่แรง	jack	๑๒ มี.ค. ๒๕๔๕
แม่แรงประจำรถ	hand jack	๑๒ มี.ค. ๒๕๔๕
แม่ปั๊ม	master cylinder	๑๒ มี.ค. ๒๕๔๕
แม่ปั๊มเบรกแบบสองตอน	tandem master cylinder	๑๒ มี.ค. ๒๕๔๕
แม่ปั๊มเบรกคู่	dual master cylinder	๑๒ มี.ค. ๒๕๔๕
เร่งไฟหนีศูนย์กลาง	centrifugal advance	๑๒ มี.ค. ๒๕๔๕
โมลิบดีนัมไดซัลไฟด์	molybdenum disulphide	๑๒ มี.ค. ๒๕๔๕
เรขาคณิตล้อหน้า	front-end geometry	๑๒ มี.ค. ๒๕๔๕
เรขาคณิตบังคับเลี้ยว	steering geometry	๑๒ มี.ค. ๒๕๔๕
แรงม้า (เอชพี)	horsepower (hp)	๑๒ มี.ค. ๒๕๔๕
แรงม้าเสียดทาน (เอฟเอชพี)	friction horsepower (fhp)	๑๒ มี.ค. ๒๕๔๕
แรงม้าเพลา (บีเอชพี)	brake horsepower (bhp)	๑๒ มี.ค. ๒๕๔๕
แรงม้าเพลารวบยอดเอสเออี (บีเอชพีรวบยอดเอสเออ)	SAE gross brake horsepower (SAE gross bhp)	๑๒ มี.ค. ๒๕๔๕
แรงม้าเพลาสุทธิเอสเออี (บีเอชพีสุทธิเอสเออี)	SAE net brake horsepower (SAE net bhp)	๑๒ มี.ค. ๒๕๔๕
แรงม้าเพลาดีน (บีเอชพีดีน)	DIN brake horsepower (DIN bhp)	๑๒ มี.ค. ๒๕๔๕
แรงม้าสุทธิ	net horsepower	๑๒ มี.ค. ๒๕๔๕
แรงม้าบ่งชี้ (ไอเอชพี)	indicated horsepower (ihp)	๑๒ มี.ค. ๒๕๔๕
แรงเลี้ยวรถ	cornering force	๑๒ มี.ค. ๒๕๔๕
แรงเคลื่อนไฟฟ้าทุติยภูมิผลิตได้	secondary available voltage	๑๒ มี.ค. ๒๕๔๕
แรงเบรก	braking force	๑๒ มี.ค. ๒๕๔๕
แรงฉุดลาก	traction	๑๒ มี.ค. ๒๕๔๕
แรงต้านลม; ความต้านลม	air resistance	๑๒ มี.ค. ๒๕๔๕
แรงบิด, ทอร์ก	torque	๑๒ มี.ค. ๒๕๔๕
เรซินสังเคราะห์	synthetic resin	๑๒ มี.ค. ๒๕๔๕
เรซินอะคริลิก	acrylic resin	๑๒ มี.ค. ๒๕๔๕
เรดาร์เตือนการชน	anticollision radar	๑๒ มี.ค. ๒๕๔๕
เรือนคลัตช์, เสื้อคลัตช์	clutch housing	๑๒ มี.ค. ๒๕๔๕
ABDC (after bottom dead center)	เอบีดีซี (หลังศูนย์ตายล่าง)	๑๒ มี.ค. ๒๕๔๕
ABS (antilock brake system)	เอบีเอส (ระบบเบรกกันล้อล็อก)	๑๒ มี.ค. ๒๕๔๕
abrasion resistance	ความต้านทานการขัดถู	๑๒ มี.ค. ๒๕๔๕
abrasive	สารขัดถู	๑๒ มี.ค. ๒๕๔๕
