‘across-the-board’ cut	การตัดทุกรายการ (งบประมาณ)	๑๗ ส.ค. ๒๕๔๔
‘across-the-board’ increase	การเพิ่มทุกรายการ (งบประมาณ)	๑๗ ส.ค. ๒๕๔๔
แม่แบบทางสังคม	social matrix	๑๗ ส.ค. ๒๕๔๔
เริ่มต้น	initials	๑๗ ส.ค. ๒๕๔๔
ภราดรภาพ	fraternity	๑๗ ส.ค. ๒๕๔๔
แมกนาคาร์ตา	Magna Carta	๑๗ ส.ค. ๒๕๔๔
โภคภัณฑ์	commodity	๑๗ ส.ค. ๒๕๔๔
โรคภัยเนื่องจากอาชีพ	occupational disease	๑๗ ส.ค. ๒๕๔๔
โรคเกิดจากงาน	occupational disease	๑๗ ส.ค. ๒๕๔๔
โรคจิต	psychopathy	๑๗ ส.ค. ๒๕๔๔
โรคที่เกิดขึ้นเกี่ยวเนื่องกับการทำงาน	occupational disease	๑๗ ส.ค. ๒๕๔๔
โรงเรียน	school	๑๗ ส.ค. ๒๕๔๔
โรงเรียนรัฐบาล	public school	๑๗ ส.ค. ๒๕๔๔
โรงเรียนราษฎร์ <i>(อังกฤษ)</i>	public school	๑๗ ส.ค. ๒๕๔๔
โมฆียะ	voidable	๑๗ ส.ค. ๒๕๔๔
โมฆะ	void	๑๗ ส.ค. ๒๕๔๔
แรงจูงใจ	motivation	๑๗ ส.ค. ๒๕๔๔
แรงกดดันจากกลุ่ม	group pressure	๑๗ ส.ค. ๒๕๔๔
แรงกดดันทางสังคม	social pressure	๑๗ ส.ค. ๒๕๔๔
แรงงาน	labour	๑๗ ส.ค. ๒๕๔๔
แรงงานเกณฑ์	forced labour	๑๗ ส.ค. ๒๕๔๔
แรงงานเด็ก	child labour	๑๗ ส.ค. ๒๕๔๔
โรงงานสรรพาวุธ	arsenal	๑๗ ส.ค. ๒๕๔๔
แรงงานนักโทษ	"convict labour; <a href=""/coinages/websearch.php?Wd=prison+labour&amp;Sj=0"">prison labour</a>"	๑๗ ส.ค. ๒๕๔๔
โรงพยาบาลโรคจิต	lunatic asylum	๑๗ ส.ค. ๒๕๔๔
เรื่อง	subject	๑๗ ส.ค. ๒๕๔๔
เรื่องที่ไม่มีผู้คัดค้าน	unopposed business	๑๗ ส.ค. ๒๕๔๔
