โรงละคร; ละคร	theatre	๖ มี.ค. ๒๕๔๕
เรื่องย่อย	sketch	๖ มี.ค. ๒๕๔๕
เรื่องเหลือเชื่อ	yarn	๖ มี.ค. ๒๕๔๕
เรื่องเหนี่ยวนำ	induction	๖ มี.ค. ๒๕๔๕
เรื่องเหนือธรรมชาติ	supernatural story	๖ มี.ค. ๒๕๔๕
เรื่องเล่า	narrative	๖ มี.ค. ๒๕๔๕
เรื่องเล่าโมะโนะงะตะริ	Monogatari	๖ มี.ค. ๒๕๔๕
เรื่องสั้น	short story	๖ มี.ค. ๒๕๔๕
เรื่องสั้น [ฝรั่งเศส]; นวนิยายขนาดสั้น [อังกฤษ]	novelette	๖ มี.ค. ๒๕๔๕
เรื่องเร้ากามารมณ์	pornography	๖ มี.ค. ๒๕๔๕
เรื่องย่อ	summary; synopsis	๖ มี.ค. ๒๕๔๕
เรื่องกุ	cock and bull story	๖ มี.ค. ๒๕๔๕
เรื่องขบขันล้อเลียน	burlesque	๖ มี.ค. ๒๕๔๕
เรื่องจารกรรม	spy story	๖ มี.ค. ๒๕๔๕
เรื่องซ้อนเรื่อง	story within a story	๖ มี.ค. ๒๕๔๕
เรื่องตื่นเต้น	thriller	๖ มี.ค. ๒๕๔๕
เรื่องนักสืบ	detective story	๖ มี.ค. ๒๕๔๕
เรื่องปรัมปรา	myth	๖ มี.ค. ๒๕๔๕
abridged edition	ฉบับตัดย่อ	๖ มี.ค. ๒๕๔๕
abstract	๑. บทคัดย่อ๒. นามธรรม	๖ มี.ค. ๒๕๔๕
abstract poem	สัทกานท์, บทกวีนามธรรม	๖ มี.ค. ๒๕๔๕
รวมเพลงขับ	chansonnier	๖ มี.ค. ๒๕๔๕
academic drama	ละครปัญญาชน	๖ มี.ค. ๒๕๔๕
academy	สํานักวิชา	๖ มี.ค. ๒๕๔๕
accent; stress	๑. พยางค์เน้น๒. การเน้นพยางค์	๖ มี.ค. ๒๕๔๕
acephalous; headless line	บาทไร้หัว	๖ มี.ค. ๒๕๔๕
โวหารย้อนกระทบ	autoclesis	๖ มี.ค. ๒๕๔๕
โวหารย้อนคำ	chiasmus	๖ มี.ค. ๒๕๔๕
โวหารเล่นคำหลากความ	zeugma	๖ มี.ค. ๒๕๔๕
โวหารแบบมารีโว	Marivaudage	๖ มี.ค. ๒๕๔๕
acrostic	อักษรกล	๖ มี.ค. ๒๕๔๕
act	องก์	๖ มี.ค. ๒๕๔๕
