a-law	กฎของเอ	๑๑ มี.ค. ๒๕๔๕
แรม (หน่วยความจำเข้าถึงโดยสุ่ม)	RAM (random access memory)	๑๑ มี.ค. ๒๕๔๕
แรมภาพ (วีแรม)	video RAM (VRAM)	๑๑ มี.ค. ๒๕๔๕
โมเสก	Mosaic	๑๑ มี.ค. ๒๕๔๕
แรมสถิต (เอสแรม)	static RAM (SRAM)	๑๑ มี.ค. ๒๕๔๕
แมโคร	macro	๑๑ มี.ค. ๒๕๔๕
โมเด็ม (ตัวกล้ำและแยกสัญญาณ)	modem (modulator-demodulator)	๑๑ มี.ค. ๒๕๔๕
โมเด็มเสียง	voice modem	๑๑ มี.ค. ๒๕๔๕
โมเด็มโทรสาร	fax modem	๑๑ มี.ค. ๒๕๔๕
โมเด็มต่อเลขหมายอัตโนมัติ	auto-dialing modem	๑๑ มี.ค. ๒๕๔๕
แรมพลวัต (ดีแรม)	dynamic RAM (DRAM)	๑๑ มี.ค. ๒๕๔๕
แรสเตอร์	raster	๑๑ มี.ค. ๒๕๔๕
แม่ข่าย; แม่งาน	host	๑๑ มี.ค. ๒๕๔๕
แม่งาน; แม่ข่าย	host	๑๑ มี.ค. ๒๕๔๕
เรียกอัตโนมัติ	auto-call	๑๑ มี.ค. ๒๕๔๕
เรียกตัว, ตามตัว	page	๑๑ มี.ค. ๒๕๔๕
เรียก; การเรียก	call	๑๑ มี.ค. ๒๕๔๕
เรียงลำดับ, เลือกเข้ากลุ่ม; การเรียงลำดับ, การเลือกเข้ากลุ่ม	sort	๑๑ มี.ค. ๒๕๔๕
เริ่มเครื่องใหม่	warm start	๑๑ มี.ค. ๒๕๔๕
เริ่มทำต่อ	restart	๑๑ มี.ค. ๒๕๔๕
เมาส์	mouse	๑๑ มี.ค. ๒๕๔๕
เมกะ-	mega-	๑๑ มี.ค. ๒๕๔๕
โยง, เชื่อมโยง	link	๑๑ มี.ค. ๒๕๔๕
แรงดันสลับ	alternating voltage	๑๑ มี.ค. ๒๕๔๕
เรจิสเตอร์	register	๑๑ มี.ค. ๒๕๔๕
