a-law	กฎของเอ	๑๑ มี.ค. ๒๕๔๕
แรม (หน่วยความจำเข้าถึงโดยสุ่ม)	"RAM (<a href=""/coinages/websearch.php?Wd=random+access+memory&amp;Sj=0"">random access memory</a>)"	๑๑ มี.ค. ๒๕๔๕
แรมภาพ (วีแรม)	"video RAM (<a href=""/coinages/websearch.php?Wd=VRAM&amp;Sj=0"">VRAM</a>)"	๑๑ มี.ค. ๒๕๔๕
แมโคร	macro	๑๑ มี.ค. ๒๕๔๕
โมเสก	Mosaic	๑๑ มี.ค. ๒๕๔๕
แรมสถิต (เอสแรม)	"static RAM (<a href=""/coinages/websearch.php?Wd=SRAM&amp;Sj=0"">SRAM</a>)"	๑๑ มี.ค. ๒๕๔๕
โมเด็ม (ตัวกล้ำและแยกสัญญาณ)	"modem (<a href=""/coinages/websearch.php?Wd=modulator-demodulator&amp;Sj=0""><b>mo</b>dulator-<b>dem</b>odulator</a>)"	๑๑ มี.ค. ๒๕๔๕
โมเด็มเสียง	voice modem	๑๑ มี.ค. ๒๕๔๕
โมเด็มโทรสาร	fax modem	๑๑ มี.ค. ๒๕๔๕
โมเด็มต่อเลขหมายอัตโนมัติ	auto-dialing modem	๑๑ มี.ค. ๒๕๔๕
แรมพลวัต (ดีแรม)	"dynamic RAM (<a href=""/coinages/websearch.php?Wd=DRAM&amp;Sj=0"">DRAM</a>)"	๑๑ มี.ค. ๒๕๔๕
แรสเตอร์	raster	๑๑ มี.ค. ๒๕๔๕
แม่ข่าย; แม่งาน	host	๑๑ มี.ค. ๒๕๔๕
แม่งาน; แม่ข่าย	host	๑๑ มี.ค. ๒๕๔๕
เรียก; การเรียก	call	๑๑ มี.ค. ๒๕๔๕
เรียกอัตโนมัติ	auto-call	๑๑ มี.ค. ๒๕๔๕
เรียกตัว, ตามตัว	page	๑๑ มี.ค. ๒๕๔๕
เรียงลำดับ, เลือกเข้ากลุ่ม; การเรียงลำดับ, การเลือกเข้ากลุ่ม	sort	๑๑ มี.ค. ๒๕๔๕
เริ่มเครื่องใหม่	warm start	๑๑ มี.ค. ๒๕๔๕
เริ่มทำต่อ	restart	๑๑ มี.ค. ๒๕๔๕
เมาส์	mouse	๑๑ มี.ค. ๒๕๔๕
เมกะ-	mega-	๑๑ มี.ค. ๒๕๔๕
โยง, เชื่อมโยง	link	๑๑ มี.ค. ๒๕๔๕
แรงดันสลับ	alternating voltage	๑๑ มี.ค. ๒๕๔๕
เรจิสเตอร์	register	๑๑ มี.ค. ๒๕๔๕
แมน (ข่ายงานบริเวณนครหลวง)	"MAN (<a href=""/coinages/websearch.php?Wd=metropolitan+area+network&amp;Sj=0"">metropolitan area network</a>)"	๑๑ มี.ค. ๒๕๔๕
เมนเฟรมคอมพิวเตอร์	"mainframe; <a href=""/coinages/websearch.php?Wd=mainframe+computer&amp;Sj=0"">mainframe computer</a>"	๑๑ มี.ค. ๒๕๔๕
abandoned call	การเรียกถูกยกเลิก	๑๑ มี.ค. ๒๕๔๕
abbreviated dialing	การต่อเลขหมายย่อ	๑๑ มี.ค. ๒๕๔๕
abort	ยกเลิก	๑๑ มี.ค. ๒๕๔๕
absorption	การดูดกลืน	๑๑ มี.ค. ๒๕๔๕
abstract data type (ADT)	"แบบชนิดข้อมูลนามธรรม (<a href=""/coinages/websearch.php?Wd=%E0%CD%B4%D5%B7%D5&amp;Sj=0"">เอดีที</a>)"	๑๑ มี.ค. ๒๕๔๕
AC (alternating current)	"เอซี (<a href=""/coinages/websearch.php?Wd=%A1%C3%D0%E1%CA%CA%C5%D1%BA&amp;Sj=0"">กระแสสลับ</a>)"	๑๑ มี.ค. ๒๕๔๕
acceptance test	การทดสอบเพื่อยอมรับ	๑๑ มี.ค. ๒๕๔๕
access	๑. เข้าถึง<br/>๒. การเข้าถึง	๑๑ มี.ค. ๒๕๔๕
access method	๑. วิธีเข้าถึง<br/>๒. โปรแกรมสำหรับเข้าถึง	๑๑ มี.ค. ๒๕๔๕
access time	ช่วงเวลาเข้าถึง	๑๑ มี.ค. ๒๕๔๕
account	บัญชีผู้ใช้	๑๑ มี.ค. ๒๕๔๕
accumulator	ตัวสะสม	๑๑ มี.ค. ๒๕๔๕
เว็บ, เวิลด์ไวด์เว็บ	"Web; <a href=""/coinages/websearch.php?Wd=World+Wide+Web&amp;Sj=0"">World Wide Web</a> (<a href=""/coinages/websearch.php?Wd=WWW&amp;Sj=0"">WWW</a>)"	๑๑ มี.ค. ๒๕๔๕
เว็บเบราว์เซอร์, โปรแกรมค้นดูเว็บ	web browser	๑๑ มี.ค. ๒๕๔๕
เว็บเบราว์เซอร์, โปรแกรมค้นดูเว็บ	web browser	๑๑ มี.ค. ๒๕๔๕
เว็บเพจ	web page	๑๑ มี.ค. ๒๕๔๕
accuracy	ความแม่น	๑๑ มี.ค. ๒๕๔๕
เว็บไซต์, ที่อยู่เว็บ	web site	๑๑ มี.ค. ๒๕๔๕
เวส์ (บริการสารสนเทศบริเวณกว้าง)	"WAIS (<a href=""/coinages/websearch.php?Wd=wide+area+information+service&amp;Sj=0"">wide area information service</a>)"	๑๑ มี.ค. ๒๕๔๕
acknowledgement	๑. การตอบรับ<br/>๒. กิตติกรรมประกาศ	๑๑ มี.ค. ๒๕๔๕
acoustic output	(สัญญาณ)เสียงออก	๑๑ มี.ค. ๒๕๔๕
acoustic scattering	การขจายเสียง	๑๑ มี.ค. ๒๕๔๕
acoustic wave filter	เครื่องกรองคลื่นเสียง	๑๑ มี.ค. ๒๕๔๕
acoustical unit	หน่วยทางเสียง	๑๑ มี.ค. ๒๕๔๕
acoustically tunable optical filter	เครื่องกรองแสงปรับด้วยเสียง	๑๑ มี.ค. ๒๕๔๕
acoustics	สวนศาสตร์ <i>[อ่านว่า สะวะนะสาด]</i>	๑๑ มี.ค. ๒๕๔๕
เวิลด์ไวด์เว็บ, เว็บ	"Web; <a href=""/coinages/websearch.php?Wd=World+Wide+Web&amp;Sj=0"">World Wide Web</a> (<a href=""/coinages/websearch.php?Wd=WWW&amp;Sj=0"">WWW</a>)"	๑๑ มี.ค. ๒๕๔๕
acoustic	ทางเสียง	๑๑ มี.ค. ๒๕๔๕
acronym	รัสพจน์	๑๑ มี.ค. ๒๕๔๕
active power	กำลังจริง	๑๑ มี.ค. ๒๕๔๕
