-เม็ดเลือดแดง	erythrocytic	๖ ส.ค. ๒๕๔๔
-เม็ดที่เยื่อหุ้มตา; -ตุ่มใส, -เม็ดพอง	phlyctenar	๖ ส.ค. ๒๕๔๔
-เม็ดพอง, -ตุ่มใส; -เม็ดที่เยื่อหุ้มตา	phlyctenar	๖ ส.ค. ๒๕๔๔
-เม็ดพองเล็ก, -ตุ่มใสเล็ก	phlyctenular	๖ ส.ค. ๒๕๔๔
-เย็บ; -แนวประสาน; -รอยเย็บ	sutural	๖ ส.ค. ๒๕๔๔
-แม่	maternal	๖ ส.ค. ๒๕๔๔
-เภสัช, -ยา; -เภสัชกรรม	pharmaceutic	๖ ส.ค. ๒๕๔๔
-เภสัช, -ยา; เภสัชภัณฑ์	pharmaceutical	๖ ส.ค. ๒๕๔๔
-เภสัชกรรม	pharmacal	๖ ส.ค. ๒๕๔๔
-เภสัชกรรม; -เภสัช, -ยา	pharmaceutic	๖ ส.ค. ๒๕๔๔
-แรก, -แต่กำเนิด, -แรกเริ่ม	protal	๖ ส.ค. ๒๕๔๔
-แรกเริ่ม, -แต่กำเนิด, -แรก	protal	๖ ส.ค. ๒๕๔๔
-แรกเริ่ม, -เริ่มต้น	initial	๖ ส.ค. ๒๕๔๔
-แยกเป็นแขนง; -แขนง (ประสาท, หลอดเลือด)	ramal	๖ ส.ค. ๒๕๔๔
-แยกสองแฉก, -แยกสองกิ่ง	bifid	๖ ส.ค. ๒๕๔๔
-แยกสองกิ่ง, -แยกสองแฉก	bifid	๖ ส.ค. ๒๕๔๔
-แยกสองง่าม	bifurcate	๖ ส.ค. ๒๕๔๔
-แยกสามแฉก	trifid	๖ ส.ค. ๒๕๔๔
-แยกได้สามแม่สี; -ไม่บอดสี, -เห็นสีปรกติ; -สามสี	trichromic	๖ ส.ค. ๒๕๔๔
-โรค; พยาธิ-	morbid	๖ ส.ค. ๒๕๔๔
-เร้า	excitatory	๖ ส.ค. ๒๕๔๔
-เร้า, -ยั่ว	provocative	๖ ส.ค. ๒๕๔๔
-เร้าให้ร้อน	thermoexcitory	๖ ส.ค. ๒๕๔๔
-เร่งการเกิดลิ่มเลือด; -ทำให้เลือดเป็นลิ่ม	thromboplastic	๖ ส.ค. ๒๕๔๔
-เร่งการคลอด	ocytocic	๖ ส.ค. ๒๕๔๔
-เร่งการคลอด; ยาเร่งคลอด	ecbolic; oxytocic	๖ ส.ค. ๒๕๔๔
-เร่งการดูดซึม; สารเร่งการดูดซึม	sorbefacient	๖ ส.ค. ๒๕๔๔
-เร่งขับถ่าย; สารเร่งขับถ่าย	eccritic	๖ ส.ค. ๒๕๔๔
-เร่งน้ำลาย	salivatory	๖ ส.ค. ๒๕๔๔
-เริม; -งูสวัด; -เหตุงูสวัด; -เหตุเริม	herpetic	๖ ส.ค. ๒๕๔๔
-เริ่มเจริญพันธุ์; -มีขนอ่อน, -มีขนอุย	pubescent	๖ ส.ค. ๒๕๔๔
-เริ่มในโรงพยาบาล	nosocomial	๖ ส.ค. ๒๕๔๔
-เริ่มในหู	otogenic; otogenous	๖ ส.ค. ๒๕๔๔
-เริ่มต้น, -แรกเริ่ม	initial	๖ ส.ค. ๒๕๔๔
-เมล็ด; -น้ำกาม, -น้ำอสุจิ	seminal	๖ ส.ค. ๒๕๔๔
-แมลงปรสิต (เหา, เล็น, ไร, โลน)	pedicular	๖ ส.ค. ๒๕๔๔
-โรคเส้นประสาท	neuropathic	๖ ส.ค. ๒๕๔๔
-โรคเหตุพิษ	toxicopathic	๖ ส.ค. ๒๕๔๔
-โรครูมาติก; รูมาติก	rheumatic	๖ ส.ค. ๒๕๔๔
-โรคเชื้อรา	mycotic	๖ ส.ค. ๒๕๔๔
-โรคเด็ก	paediatric; pediatric	๖ ส.ค. ๒๕๔๔
-โรคเบาหวาน, -เบาหวาน	diabetic	๖ ส.ค. ๒๕๔๔
-โรคหัวใจเหตุต่อมไทรอยด์	thyrocardiac	๖ ส.ค. ๒๕๔๔
-โรคหัด	morbillous	๖ ส.ค. ๒๕๔๔
-โรคหืด; คนเป็นหืด	asthmatic	๖ ส.ค. ๒๕๔๔
-โรคลมชัก, -โรคลมบ้าหมู; ผู้ป่วยโรคลมชัก, ผู้ป่วยโรคลมบ้าหมู	epileptic	๖ ส.ค. ๒๕๔๔
-โรคลมบ้าหมู, -โรคลมชัก; ผู้ป่วยโรคลมชัก, ผู้ป่วยโรคลมบ้าหมู	epileptic	๖ ส.ค. ๒๕๔๔
-โรคลักปิดลักเปิด	scorbutic	๖ ส.ค. ๒๕๔๔
-โรคไขสันหลังเสื่อม; ซูบโทรม	tabetic	๖ ส.ค. ๒๕๔๔
-โรคไต	nephropathic	๖ ส.ค. ๒๕๔๔
-โรคกาฬม่วง, -เพอร์พิวรา	purpuric	๖ ส.ค. ๒๕๔๔
-โรคกล้ามเนื้อ	myopathic	๖ ส.ค. ๒๕๔๔
-โรคกลับฉับพลัน; -กำเริบ; -ชัก, -หดเกร็ง	paroxysmal	๖ ส.ค. ๒๕๔๔
-โรคขน, -โรคผม	trichopathic	๖ ส.ค. ๒๕๔๔
-โรคทางกาย	somatopathic	๖ ส.ค. ๒๕๔๔
-โรคผม, -โรคขน	trichopathic	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มมดลูก; -มาตรลานสายตา; -รอบมดลูก	perimetric	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มหัวใจ; -ถุงหุ้มหัวใจ	pericardiac; pericardial	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มกระดูก	periosteal; periosteous	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มปอด	pleural	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มปอดและเยื่อบุช่องท้อง	pleuroperitoneal	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มปอดอักเสบ	pleuritic	๖ ส.ค. ๒๕๔๔
