-แรก, -แต่กำเนิด, -แรกเริ่ม	protal	๖ ส.ค. ๒๕๔๔
-แรกเริ่ม, -แต่กำเนิด, -แรก	protal	๖ ส.ค. ๒๕๔๔
-แรกเริ่ม, -เริ่มต้น	initial	๖ ส.ค. ๒๕๔๔
-แยกเป็นแขนง; -แขนง <i>(ประสาท, หลอดเลือด)</i>	ramal	๖ ส.ค. ๒๕๔๔
-แยกสองแฉก, -แยกสองกิ่ง	bifid	๖ ส.ค. ๒๕๔๔
-แยกสองกิ่ง, -แยกสองแฉก	bifid	๖ ส.ค. ๒๕๔๔
-แยกสองง่าม	bifurcate	๖ ส.ค. ๒๕๔๔
-แยกสามแฉก	trifid	๖ ส.ค. ๒๕๔๔
-แยกได้สามแม่สี; -ไม่บอดสี, -เห็นสีปรกติ; -สามสี	trichromic	๖ ส.ค. ๒๕๔๔
-โรค; พยาธิ-	morbid	๖ ส.ค. ๒๕๔๔
-เม็ดเลือดแดง	erythrocytic	๖ ส.ค. ๒๕๔๔
-เม็ดที่เยื่อหุ้มตา; -ตุ่มใส, -เม็ดพอง	phlyctenar	๖ ส.ค. ๒๕๔๔
-เม็ดพอง, -ตุ่มใส; -เม็ดที่เยื่อหุ้มตา	phlyctenar	๖ ส.ค. ๒๕๔๔
-เม็ดพองเล็ก, -ตุ่มใสเล็ก	phlyctenular	๖ ส.ค. ๒๕๔๔
-เย็บ; -แนวประสาน; -รอยเย็บ	sutural	๖ ส.ค. ๒๕๔๔
-แม่	maternal	๖ ส.ค. ๒๕๔๔
-เภสัช, -ยา; -เภสัชกรรม	pharmaceutic	๖ ส.ค. ๒๕๔๔
-เภสัช, -ยา; เภสัชภัณฑ์	pharmaceutical	๖ ส.ค. ๒๕๔๔
-เภสัชกรรม	pharmacal	๖ ส.ค. ๒๕๔๔
-เภสัชกรรม; -เภสัช, -ยา	pharmaceutic	๖ ส.ค. ๒๕๔๔
-เริ่มเจริญพันธุ์; -มีขนอ่อน, -มีขนอุย	pubescent	๖ ส.ค. ๒๕๔๔
-เริ่มในโรงพยาบาล	nosocomial	๖ ส.ค. ๒๕๔๔
-เริ่มในหู	"otogenic; <a href=""/coinages/websearch.php?Wd=otogenous&amp;Sj=0"">otogenous</a>"	๖ ส.ค. ๒๕๔๔
-เริ่มต้น, -แรกเริ่ม	initial	๖ ส.ค. ๒๕๔๔
-เมล็ด; -น้ำกาม, -น้ำอสุจิ	seminal	๖ ส.ค. ๒๕๔๔
-แมลงปรสิต <i>(เหา, เล็น, ไร, โลน)</i>	pedicular	๖ ส.ค. ๒๕๔๔
-โรคลมบ้าหมู, -โรคลมชัก; ผู้ป่วยโรคลมชัก, ผู้ป่วยโรคลมบ้าหมู	epileptic	๖ ส.ค. ๒๕๔๔
-โรคลักปิดลักเปิด	scorbutic	๖ ส.ค. ๒๕๔๔
-โรคไขสันหลังเสื่อม; ซูบโทรม	tabetic	๖ ส.ค. ๒๕๔๔
-โรคไต	nephropathic	๖ ส.ค. ๒๕๔๔
-โรคกาฬม่วง, -เพอร์พิวรา	purpuric	๖ ส.ค. ๒๕๔๔
-โรคกล้ามเนื้อ	myopathic	๖ ส.ค. ๒๕๔๔
-โรคกลับฉับพลัน; -กำเริบ; -ชัก, -หดเกร็ง	paroxysmal	๖ ส.ค. ๒๕๔๔
-โรคขน, -โรคผม	trichopathic	๖ ส.ค. ๒๕๔๔
-โรคทางกาย	somatopathic	๖ ส.ค. ๒๕๔๔
-โรคผม, -โรคขน	trichopathic	๖ ส.ค. ๒๕๔๔
-โรคเส้นประสาท	neuropathic	๖ ส.ค. ๒๕๔๔
-โรคเหตุพิษ	toxicopathic	๖ ส.ค. ๒๕๔๔
-โรครูมาติก; รูมาติก	rheumatic	๖ ส.ค. ๒๕๔๔
-โรคเชื้อรา	mycotic	๖ ส.ค. ๒๕๔๔
-โรคเด็ก	"paediatric; <a href=""/coinages/websearch.php?Wd=pediatric&amp;Sj=0"">pediatric</a>"	๖ ส.ค. ๒๕๔๔
-โรคเบาหวาน, -เบาหวาน	diabetic	๖ ส.ค. ๒๕๔๔
-โรคหัวใจเหตุต่อมไทรอยด์	thyrocardiac	๖ ส.ค. ๒๕๔๔
-โรคหัด	morbillous	๖ ส.ค. ๒๕๔๔
-โรคหืด; คนเป็นหืด	asthmatic	๖ ส.ค. ๒๕๔๔
-โรคลมชัก, -โรคลมบ้าหมู; ผู้ป่วยโรคลมชัก, ผู้ป่วยโรคลมบ้าหมู	epileptic	๖ ส.ค. ๒๕๔๔
-เร้า	excitatory	๖ ส.ค. ๒๕๔๔
-เร้า, -ยั่ว	provocative	๖ ส.ค. ๒๕๔๔
-เร้าให้ร้อน	thermoexcitory	๖ ส.ค. ๒๕๔๔
-เร่งการเกิดลิ่มเลือด; -ทำให้เลือดเป็นลิ่ม	thromboplastic	๖ ส.ค. ๒๕๔๔
-เร่งการคลอด	ocytocic	๖ ส.ค. ๒๕๔๔
-เร่งการคลอด; ยาเร่งคลอด	"ecbolic; <a href=""/coinages/websearch.php?Wd=oxytocic&amp;Sj=0"">oxytocic</a>"	๖ ส.ค. ๒๕๔๔
-เร่งการดูดซึม; สารเร่งการดูดซึม	sorbefacient	๖ ส.ค. ๒๕๔๔
-เร่งขับถ่าย; สารเร่งขับถ่าย	eccritic	๖ ส.ค. ๒๕๔๔
-เร่งน้ำลาย	salivatory	๖ ส.ค. ๒๕๔๔
-เริม; -งูสวัด; -เหตุงูสวัด; -เหตุเริม	herpetic	๖ ส.ค. ๒๕๔๔
-โรคพยาธิปากขอ	uncinariatic	๖ ส.ค. ๒๕๔๔
-แรงจัด, -เข้ม	intensive	๖ ส.ค. ๒๕๔๔
-โภชนาการ	trophic	๖ ส.ค. ๒๕๔๔
-มโนคติ, -ความคิด; อุดมคติ	ideal	๖ ส.ค. ๒๕๔๔
-เยื่อ, -แผ่นเยื่อ	membranous	๖ ส.ค. ๒๕๔๔
-เยื่อ; -เยื่อคลุม, -เยื่อหุ้ม; -เยื่อห้อย	velar	๖ ส.ค. ๒๕๔๔
-เยื่อห้อย; -เยื่อ; -เยื่อคลุม, -เยื่อหุ้ม	velar	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้ม, -ปลอก	thecal	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้ม, -เยื่อคลุม; -เยื่อ; -เยื่อห้อย	velar	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มและตัวปอด	pleurovisceral	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มมดลูก; -มาตรลานสายตา; -รอบมดลูก	perimetric	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มหัวใจ; -ถุงหุ้มหัวใจ	"pericardiac; <a href=""/coinages/websearch.php?Wd=pericardial&amp;Sj=0"">pericardial</a>"	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มกระดูก	"periosteal; <a href=""/coinages/websearch.php?Wd=periosteous&amp;Sj=0"">periosteous</a>"	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มปอด	pleural	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มปอดและเยื่อบุช่องท้อง	pleuroperitoneal	๖ ส.ค. ๒๕๔๔
-เยื่อหุ้มปอดอักเสบ	pleuritic	๖ ส.ค. ๒๕๔๔
-เยื่อคลุม, -เยื่อหุ้ม; -เยื่อ; -เยื่อห้อย	velar	๖ ส.ค. ๒๕๔๔
-เยื่อถุงน้ำคร่ำ	amniotic	๖ ส.ค. ๒๕๔๔
-เยื่อบุหัวใจ; -ภายในหัวใจ	"endocardiac; <a href=""/coinages/websearch.php?Wd=endocardial&amp;Sj=0"">endocardial</a>"	๖ ส.ค. ๒๕๔๔
-เยื่อบุช่องท้อง	peritoneal	๖ ส.ค. ๒๕๔๔
-มวลเซลล์รวม	syncytial	๖ ส.ค. ๒๕๔๔
-มะเร็ง	cancerous	๖ ส.ค. ๒๕๔๔
-มะเร็งเนื้อกระด้าง	scirrhous	๖ ส.ค. ๒๕๔๔
-ระยะ, -คาบ	periodic	๖ ส.ค. ๒๕๔๔
-ระยะแปรเปลี่ยน, -กำลังเปลี่ยน	transitional	๖ ส.ค. ๒๕๔๔
-ระยะก่อนหัวใจคลาย	prediastolic	๖ ส.ค. ๒๕๔๔
-ระยะก่อนชัก	preconvulsant	๖ ส.ค. ๒๕๔๔
-ระยะที่ว่าง, -ห้วง; -ช่อง, -โพรง, -ห้อง, -แอ่ง; -บริเวณ, -ปริภูมิ, -พื้นที่; -อวกาศ	spatial	๖ ส.ค. ๒๕๔๔
-ระวังระไว	vigilant	๖ ส.ค. ๒๕๔๔
-ระหว่างเยื่อกั้น, -ระหว่างผนังกั้น	interseptal	๖ ส.ค. ๒๕๔๔
-ระหว่างมีไข้	intrapyretic	๖ ส.ค. ๒๕๔๔
-ระหว่างรูม่านตา	interpupillary	๖ ส.ค. ๒๕๔๔
-ระหว่างแก้มก้น	"intergluteal; <a href=""/coinages/websearch.php?Wd=internatal&amp;Sj=0"">internatal</a>"	๖ ส.ค. ๒๕๔๔
-ระหว่างโคนขา	interfemoral	๖ ส.ค. ๒๕๔๔
-ระหว่างเซลล์	intercellular	๖ ส.ค. ๒๕๔๔
-ระหว่างสะบัก	interscapular	๖ ส.ค. ๒๕๔๔
-ระหว่างหัวใจห้องล่าง, -ระหว่างหัวใจห้องปลาย	interventricular	๖ ส.ค. ๒๕๔๔
-ระหว่างหัวใจห้องปลาย, -ระหว่างหัวใจห้องล่าง	interventricular	๖ ส.ค. ๒๕๔๔
-ระหว่างกระดูกคอชิ้นที่หนึ่งกับชิ้นที่สอง	atlantoaxial	๖ ส.ค. ๒๕๔๔
-เยื่อบุช่องท้องร่วมถุงหุ้มหัวใจ	peritoneopericardial	๖ ส.ค. ๒๕๔๔
-เยื่อผิว; -ฝ้าลอย	"pellicular; <a href=""/coinages/websearch.php?Wd=pelliculous&amp;Sj=0"">pelliculous</a>"	๖ ส.ค. ๒๕๔๔
-เมือก, -มูก; คล้ายมูก, คล้ายเมือก; -หลั่งมูก, -หลั่งเมือก; -อาบมูก, -อาบเมือก	mucous	๖ ส.ค. ๒๕๔๔
-เรืองแสง	phosphorescent	๖ ส.ค. ๒๕๔๔
